Country,Risk,Age,Value
Brunei Darussalam,Ambient Particulate Matter,15 to 64 years old,66.2078736425
Brunei Darussalam,Ambient Particulate Matter,All,122.31504737972222
Brunei Darussalam,Ambient Particulate Matter,Less than 15 years old,10.313668562194444
Brunei Darussalam,Ambient Particulate Matter,More than 64 years old,145.14137569972223
Cambodia,Ambient Particulate Matter,15 to 64 years old,2337.761630023333
Cambodia,Ambient Particulate Matter,All,8910.962609588889
Cambodia,Ambient Particulate Matter,Less than 15 years old,5092.859666508333
Cambodia,Ambient Particulate Matter,More than 64 years old,1694.9956446105557
Indonesia,Ambient Particulate Matter,15 to 64 years old,109968.67879256861
Indonesia,Ambient Particulate Matter,All,214339.33350496387
Indonesia,Ambient Particulate Matter,Less than 15 years old,46779.19302661945
Indonesia,Ambient Particulate Matter,More than 64 years old,58221.03157911361
Malaysia,Ambient Particulate Matter,15 to 64 years old,12434.244724633332
Malaysia,Ambient Particulate Matter,All,22404.399117505556
Malaysia,Ambient Particulate Matter,Less than 15 years old,1458.0688384713612
Malaysia,Ambient Particulate Matter,More than 64 years old,8857.188294691667
Myanmar,Ambient Particulate Matter,15 to 64 years old,19778.991569114998
Myanmar,Ambient Particulate Matter,All,54174.900226830556
Myanmar,Ambient Particulate Matter,Less than 15 years old,21138.68514943278
Myanmar,Ambient Particulate Matter,More than 64 years old,13568.985284400833
Philippines,Ambient Particulate Matter,15 to 64 years old,33601.75836087028
Philippines,Ambient Particulate Matter,All,69406.65493171112
Philippines,Ambient Particulate Matter,Less than 15 years old,19446.394583885554
Philippines,Ambient Particulate Matter,More than 64 years old,16618.129739955555
Singapore,Ambient Particulate Matter,15 to 64 years old,1443.3090319508335
Singapore,Ambient Particulate Matter,All,3025.6598032277775
Singapore,Ambient Particulate Matter,Less than 15 years old,50.33009632812778
Singapore,Ambient Particulate Matter,More than 64 years old,1720.7469678622222
Thailand,Ambient Particulate Matter,15 to 64 years old,35905.36194156111
Thailand,Ambient Particulate Matter,All,64854.65773791389
Thailand,Ambient Particulate Matter,Less than 15 years old,4618.162908688778
Thailand,Ambient Particulate Matter,More than 64 years old,24563.23163832778
Timor-Leste,Ambient Particulate Matter,15 to 64 years old,104.25684922203592
Timor-Leste,Ambient Particulate Matter,All,424.5637031576048
Timor-Leste,Ambient Particulate Matter,Less than 15 years old,237.01883318047902
Timor-Leste,Ambient Particulate Matter,More than 64 years old,183.07027082571855
